State	District
Karnataka	Bagalkot
Karnataka	Ballari
Karnataka	Bangalore Rural
Karnataka	Bangalore Urban
Karnataka	Belagavi
Karnataka	Bidar
Karnataka	Bijapur
Karnataka	Chamarajanagar
Karnataka	Chikkaballapur
Karnataka	Chikmagalur
Karnataka	Chitradurga
Karnataka	Dakshina Kannada
Karnataka	Davanagere
Karnataka	Dharwad
Karnataka	Gadaga
Karnataka	Hassan
Karnataka	Haveri
Karnataka	Kalaburagi
Karnataka	Kodagu
Karnataka	Kolar
Karnataka	Koppal
Karnataka	Mandya
Karnataka	Mysore
Karnataka	Raichur
Karnataka	Ramanagara
Karnataka	Shimoga
Karnataka	Tumakuru
Karnataka	Udupi
Karnataka	Uttara Kannada
Karnataka	Vijayanagara
Karnataka	Yadgir
Kerala	Alappuzha
Kerala	Ernakulam
Kerala	Idukki
Kerala	Kannur
Kerala	Kasaragod
Kerala	Kollam
Kerala	Kottayam
Kerala	Kozhikode
Kerala	Malappuram
Kerala	Palakkad
Kerala	Pathanamthitta
Kerala	Thiruvananthapuram
Kerala	Thrissur
Kerala	Wayanad
Madhya Pradesh	Agar Malwa
Madhya Pradesh	Alirajpur
Madhya Pradesh	Anuppur
Madhya Pradesh	Ashoknagar
Madhya Pradesh	Balaghat
Madhya Pradesh	Barwani
Madhya Pradesh	Betul
Madhya Pradesh	Bhind
Madhya Pradesh	Bhopal
Madhya Pradesh	Burhanpur
Madhya Pradesh	Chhatarpur
Madhya Pradesh	Chhindwara
Madhya Pradesh	Damoh
Madhya Pradesh	Datia
Madhya Pradesh	Dewas
Madhya Pradesh	Dhar
Madhya Pradesh	Dindori
Madhya Pradesh	Guna
Madhya Pradesh	Gwalior
Madhya Pradesh	Harda
Madhya Pradesh	Hoshangabad
Madhya Pradesh	Indore
Madhya Pradesh	Jabalpur
Madhya Pradesh	Jhabua
Madhya Pradesh	Katni
Madhya Pradesh	Khandwa
Madhya Pradesh	Khargone
Madhya Pradesh	Maihar
Madhya Pradesh	Mandla
Madhya Pradesh	Mandsaur
Madhya Pradesh	Mauganj
Madhya Pradesh	Morena
Madhya Pradesh	Narsinghpur
Madhya Pradesh	Neemuch
Madhya Pradesh	Niwari
Madhya Pradesh	Pandhurna
Madhya Pradesh	Panna
Madhya Pradesh	Raisen
Madhya Pradesh	Rajgarh
Madhya Pradesh	Ratlam
Madhya Pradesh	Rewa
Madhya Pradesh	Sagar
Madhya Pradesh	Satna
Madhya Pradesh	Sehore
Madhya Pradesh	Seoni
Madhya Pradesh	Shahdol
Madhya Pradesh	Shajapur
Madhya Pradesh	Sheopur
Madhya Pradesh	Shivpuri
Madhya Pradesh	Sidhi
Madhya Pradesh	Singrauli
Madhya Pradesh	Tikamgarh
Madhya Pradesh	Ujjain
Madhya Pradesh	Umaria
Madhya Pradesh	Vidisha
Maharashtra	Ahmednagar
Maharashtra	Akola
Maharashtra	Amravati
Maharashtra	Aurangabad
Maharashtra	Beed
Maharashtra	Bhandara
Maharashtra	Buldhana
Maharashtra	Chandrapur
Maharashtra	Dhule
Maharashtra	Gadchiroli
Maharashtra	Gondia
Maharashtra	Hingoli
Maharashtra	Jalgaon
Maharashtra	Jalna
Maharashtra	Kolhapur
Maharashtra	Latur
Maharashtra	Mumbai City
Maharashtra	Mumbai Suburban
Maharashtra	Nagpur
Maharashtra	Nanded
Maharashtra	Nandurbar
Maharashtra	Nashik
Maharashtra	Osmanabad
Maharashtra	Palghar
Maharashtra	Parbhani
Maharashtra	Pune
Maharashtra	Raigad
Maharashtra	Ratnagiri
Maharashtra	Sangli
Maharashtra	Satara
Maharashtra	Sindhudurg
Maharashtra	Solapur
Maharashtra	Thane
Maharashtra	Wardha
Maharashtra	Washim
Maharashtra	Yavatmal
Manipur	Bishnupur
Manipur	Chandel
Manipur	Churachandpur
Manipur	Imphal East
Manipur	Imphal West
Manipur	Jiribam
Manipur	Kakching
Manipur	Kamjong
Manipur	Kangpokpi
Manipur	Noney
Manipur	Pherzawl
Manipur	Senapati
Manipur	Tamenglong
Manipur	Tengnoupal
Manipur	Thoubal
Manipur	Ukhrul
Meghalaya	East Garo Hills
Meghalaya	East Jaintia Hills
Meghalaya	East Khasi Hills
Meghalaya	Eastern West Khasi Hills
Meghalaya	North Garo Hills
Meghalaya	Ri Bhoi
Meghalaya	South Garo Hills
Meghalaya	South West Garo Hills
Meghalaya	South West Khasi Hills
Meghalaya	West Garo Hills
Meghalaya	West Jaintia Hills
Meghalaya	West Khasi Hills
Mizoram	Aizawl
Mizoram	Champhai
Mizoram	Hnahthial
Mizoram	Khawzawl
Mizoram	Kolasib
Mizoram	Lawngtlai
Mizoram	Lunglei
Mizoram	Mamit
Mizoram	Saiha
Mizoram	Saitual
Mizoram	Serchhip
Nagaland	Chümoukedima
Nagaland	Dimapur
Nagaland	Kiphire
Nagaland	Kohima
Nagaland	Longleng
Nagaland	Mokokchung
Nagaland	Mon
Nagaland	Niuland
Nagaland	Noklak
Nagaland	Peren
Nagaland	Phek
Nagaland	Shamator
Nagaland	Tseminyü
Nagaland	Tuensang
Nagaland	Wokha
Nagaland	Zunheboto
Odisha	Angul
Odisha	Balangir
Odisha	Balasore
Odisha	Bargarh
Odisha	Bhadrak
Odisha	Boudh
Odisha	Cuttack
Odisha	Debagarh
Odisha	Dhenkanal
Odisha	Gajapati
Odisha	Ganjam
Odisha	Jagatsinghpur
Odisha	Jajpur
Odisha	Jharsuguda
Odisha	Kalahandi
Odisha	Kandhamal
